epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,174.705,0.69076,0.59732,1.09032,0.70877,0.92357,0.87445,0.60318,1.31336,0.83403,1.59449,0.00053225,0.00053225,0.00053225
60,177.918,0.65662,0.55412,1.08658,0.69846,0.87816,0.8863,0.60883,1.2553,0.75686,1.58431,0.000519875,0.000519875,0.000519875
61,181.045,0.66801,0.56916,1.0925,0.75902,0.88067,0.901,0.59932,1.29259,0.75664,1.63594,0.0005075,0.0005075,0.0005075
62,183.855,0.67371,0.56537,1.10347,0.7718,0.84955,0.88124,0.60941,1.26036,0.74635,1.60323,0.000495125,0.000495125,0.000495125
63,186.832,0.66045,0.56335,1.08034,0.72989,0.94839,0.89928,0.61928,1.27982,0.75636,1.5919,0.00048275,0.00048275,0.00048275
64,189.739,0.63214,0.56929,1.0685,0.71543,0.91968,0.85401,0.60121,1.27284,0.78212,1.57268,0.000470375,0.000470375,0.000470375
65,192.417,0.68011,0.59584,1.10133,0.69512,0.91968,0.84807,0.59576,1.26667,0.78972,1.53823,0.000458,0.000458,0.000458
66,195.547,0.6685,0.58112,1.06458,0.69172,0.92119,0.86366,0.62661,1.24278,0.79826,1.53942,0.000445625,0.000445625,0.000445625
67,198.444,0.60559,0.52444,1.04949,0.72187,0.90727,0.88537,0.63466,1.22705,0.7826,1.57796,0.00043325,0.00043325,0.00043325
68,201.225,0.60934,0.52399,1.06057,0.72625,0.90508,0.89212,0.61632,1.2433,0.77079,1.60711,0.000420875,0.000420875,0.000420875
69,204.066,0.62108,0.52596,1.05451,0.73162,0.90689,0.89154,0.61948,1.26302,0.76098,1.60262,0.0004085,0.0004085,0.0004085
70,206.841,0.64137,0.53162,1.06593,0.71595,0.92758,0.88185,0.61237,1.22261,0.77017,1.57447,0.000396125,0.000396125,0.000396125
71,209.635,0.61094,0.5865,1.04307,0.74606,0.93447,0.8111,0.56761,1.20515,0.75616,1.57647,0.00038375,0.00038375,0.00038375
72,212.349,0.60766,0.53431,1.07119,0.76581,0.85553,0.81093,0.54309,1.25537,0.76094,1.56,0.000371375,0.000371375,0.000371375
73,215.125,0.61869,0.51678,1.07474,0.69656,0.78732,0.78571,0.53356,1.25596,0.80437,1.57784,0.000359,0.000359,0.000359
74,217.809,0.6512,0.54816,1.06735,0.76325,0.76943,0.85612,0.599,1.2958,0.83331,1.63193,0.000346625,0.000346625,0.000346625
75,220.468,0.61113,0.53956,1.06464,0.8568,0.77604,0.82122,0.58531,1.30962,0.84092,1.6213,0.00033425,0.00033425,0.00033425
76,223.462,0.62093,0.53011,1.05274,0.8958,0.7752,0.87048,0.6231,1.23054,0.79181,1.54478,0.000321875,0.000321875,0.000321875
77,226.44,0.60964,0.52034,1.05304,0.81635,0.77194,0.88818,0.64433,1.18042,0.76366,1.50299,0.0003095,0.0003095,0.0003095
78,229.319,0.59042,0.53062,1.04341,0.76019,0.89597,0.89502,0.63676,1.17074,0.75387,1.48521,0.000297125,0.000297125,0.000297125
79,232.131,0.62355,0.53048,1.03878,0.76803,0.92158,0.89837,0.65743,1.14458,0.74856,1.48195,0.00028475,0.00028475,0.00028475
80,234.947,0.61935,0.56149,1.07428,0.75125,0.89278,0.83819,0.59745,1.12648,0.76039,1.46947,0.000272375,0.000272375,0.000272375
81,237.642,0.58291,0.50538,1.05439,0.7374,0.88668,0.82418,0.57934,1.15883,0.78113,1.48742,0.00026,0.00026,0.00026
82,240.365,0.59481,0.54902,1.04555,0.74819,0.80055,0.80115,0.55879,1.15548,0.77775,1.45487,0.000247625,0.000247625,0.000247625
83,243.039,0.59117,0.49812,1.04082,0.77122,0.80173,0.79389,0.55878,1.16723,0.77435,1.45826,0.00023525,0.00023525,0.00023525
84,245.893,0.59614,0.53827,1.06005,0.77471,0.79698,0.84454,0.60913,1.16007,0.76679,1.47409,0.000222875,0.000222875,0.000222875
85,248.56,0.55942,0.50777,1.04282,0.80958,0.78542,0.84885,0.62035,1.15499,0.74979,1.46968,0.0002105,0.0002105,0.0002105
86,251.517,0.61652,0.54127,1.0983,0.83029,0.79155,0.84724,0.61181,1.17165,0.73936,1.47812,0.000198125,0.000198125,0.000198125
87,254.331,0.62502,0.51562,1.05756,0.80567,0.78389,0.84003,0.60359,1.17934,0.74109,1.49188,0.00018575,0.00018575,0.00018575
88,257.356,0.56834,0.49666,1.04015,0.81907,0.78941,0.84471,0.61256,1.15787,0.72451,1.48268,0.000173375,0.000173375,0.000173375
89,260.143,0.58453,0.49617,1.05718,0.78904,0.80015,0.8357,0.60633,1.15841,0.71293,1.48773,0.000161,0.000161,0.000161
90,262.934,0.56553,0.48221,1.0085,0.7614,0.79727,0.83146,0.59946,1.15964,0.73478,1.47421,0.000148625,0.000148625,0.000148625
91,302.603,0.54783,0.47148,1.06724,0.73183,0.81297,0.83931,0.59841,1.16211,0.74381,1.47132,0.00013625,0.00013625,0.00013625
92,305.383,0.51568,0.46921,1.05812,0.71632,0.82736,0.83624,0.58959,1.16554,0.75607,1.47719,0.000123875,0.000123875,0.000123875
93,308.121,0.45847,0.37018,0.99691,0.77614,0.77497,0.83565,0.58173,1.1547,0.74141,1.47993,0.0001115,0.0001115,0.0001115
94,310.829,0.45819,0.40197,0.98219,0.80464,0.78821,0.84458,0.58722,1.17184,0.72161,1.51003,9.9125e-05,9.9125e-05,9.9125e-05
95,313.494,0.4774,0.37892,0.97135,0.78976,0.79704,0.78514,0.53889,1.17596,0.71643,1.52561,8.675e-05,8.675e-05,8.675e-05
96,316.375,0.46403,0.36172,0.96953,0.78844,0.7939,0.79884,0.5474,1.1806,0.73141,1.53911,7.4375e-05,7.4375e-05,7.4375e-05
97,319.362,0.43759,0.3511,0.96234,0.83256,0.74365,0.84979,0.60476,1.17249,0.73758,1.53239,6.2e-05,6.2e-05,6.2e-05
98,322.12,0.48288,0.37347,0.99485,0.76677,0.78523,0.84638,0.60623,1.18397,0.74177,1.53967,4.9625e-05,4.9625e-05,4.9625e-05
99,324.844,0.46388,0.36411,0.99174,0.7299,0.82015,0.8467,0.60128,1.17849,0.74619,1.53486,3.725e-05,3.725e-05,3.725e-05
100,327.561,0.4658,0.36635,0.96089,0.78009,0.78864,0.83109,0.59369,1.17996,0.7367,1.53843,2.4875e-05,2.4875e-05,2.4875e-05
