epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,169.076,0.92239,0.99119,1.24676,0.88719,0.60245,0.86648,0.54216,1.49136,1.14465,1.77649,0.00058175,0.00058175,0.00058175
56,171.928,0.90227,1.00226,1.28186,0.8618,0.59665,0.89803,0.58419,1.41646,1.03611,1.70127,0.000569375,0.000569375,0.000569375
57,174.75,0.93179,0.97475,1.2528,0.5729,0.95917,0.81672,0.51396,1.29932,0.99551,1.61362,0.000557,0.000557,0.000557
58,177.512,0.9139,0.94419,1.2594,0.67235,0.88824,0.91444,0.61389,1.32045,0.99136,1.634,0.000544625,0.000544625,0.000544625
59,180.349,0.96364,0.95215,1.23706,0.87481,0.66293,0.8154,0.53505,1.40433,0.99508,1.73621,0.00053225,0.00053225,0.00053225
60,183.072,0.87933,0.90604,1.2542,0.8589,0.60543,0.77626,0.49034,1.42172,1.03698,1.73737,0.000519875,0.000519875,0.000519875
61,185.84,0.90544,0.92933,1.21781,0.78579,0.62833,0.69206,0.46132,1.36744,1.01467,1.65134,0.0005075,0.0005075,0.0005075
62,188.545,0.87918,0.9023,1.23566,0.5593,0.76625,0.71553,0.47089,1.28093,1.02082,1.57222,0.000495125,0.000495125,0.000495125
63,191.297,0.92932,0.89452,1.272,0.88992,0.58188,0.70074,0.41571,1.39258,1.02725,1.64107,0.00048275,0.00048275,0.00048275
64,194.152,0.8605,0.87457,1.21435,0.74366,0.79189,0.77165,0.45847,1.36648,0.91305,1.61062,0.000470375,0.000470375,0.000470375
65,196.97,0.92525,0.94827,1.27574,0.79165,0.68829,0.76723,0.53934,1.23697,0.83474,1.60758,0.000458,0.000458,0.000458
66,199.78,0.85451,0.93205,1.22035,0.88794,0.7525,0.79549,0.55635,1.24227,0.88755,1.60817,0.000445625,0.000445625,0.000445625
67,202.623,0.80864,0.81965,1.19077,0.80766,0.76792,0.77989,0.53998,1.24879,0.98816,1.63631,0.00043325,0.00043325,0.00043325
